chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
.\src\test\java\org\jfree\data\xy\TableXYDatasetTest.java, TableXYDatasetTest, 133, 67, 0.5037593984962406, 13, 0.038750722961249276
.\src\test\java\org\jfree\data\xy\VectorDataItemTest.java, VectorDataItemTest, 48, 16, 0.3333333333333333, 4, 0.08333333333333333
.\src\test\java\org\jfree\data\xy\VectorSeriesCollectionTest.java, VectorSeriesCollectionTest, 65, 19, 0.2923076923076923, 5, 0.05846153846153847
.\src\test\java\org\jfree\data\xy\VectorSeriesTest.java, VectorSeriesTest, 153, 51, 0.3333333333333333, 12, 0.027777777777777776
.\src\test\java\org\jfree\data\xy\VectorTest.java, VectorTest, 37, 16, 0.43243243243243246, 4, 0.10810810810810811
.\src\test\java\org\jfree\data\xy\XIntervalDataItemTest.java, XIntervalDataItemTest, 48, 19, 0.3958333333333333, 4, 0.09895833333333333
.\src\test\java\org\jfree\data\xy\XIntervalSeriesCollectionTest.java, XIntervalSeriesCollectionTest, 90, 30, 0.3333333333333333, 9, 0.037037037037037035
.\src\test\java\org\jfree\data\xy\XIntervalSeriesTest.java, XIntervalSeriesTest, 167, 55, 0.32934131736526945, 14, 0.02352437981180496
.\src\test\java\org\jfree\data\xy\XYBarDatasetTest.java, XYBarDatasetTest, 59, 18, 0.3050847457627119, 4, 0.07627118644067797
.\src\test\java\org\jfree\data\xy\XYCoordinateTest.java, XYCoordinateTest, 37, 16, 0.43243243243243246, 4, 0.10810810810810811
.\src\test\java\org\jfree\data\xy\XYDataItemTest.java, XYDataItemTest, 27, 12, 0.4444444444444444, 3, 0.14814814814814814
.\src\test\java\org\jfree\data\xy\XYIntervalDataItemTest.java, XYIntervalDataItemTest, 58, 21, 0.3620689655172414, 4, 0.09051724137931035
.\src\test\java\org\jfree\data\xy\XYIntervalSeriesCollectionTest.java, XYIntervalSeriesCollectionTest, 86, 29, 0.3372093023255814, 9, 0.037467700258397935
.\src\test\java\org\jfree\data\xy\XYIntervalSeriesTest.java, XYIntervalSeriesTest, 162, 52, 0.32098765432098764, 13, 0.024691358024691357
.\src\test\java\org\jfree\data\xy\XYIntervalTest.java, XYIntervalTest, 39, 12, 0.3076923076923077, 3, 0.10256410256410257
.\src\test\java\org\jfree\data\xy\XYSeriesCollectionTest.java, XYSeriesCollectionTest, 296, 69, 0.23310810810810811, 24, 0.009712837837837838
.\src\test\java\org\jfree\data\xy\XYSeriesTest.java, XYSeriesTest, 505, 125, 0.24752475247524752, 37, 0.00668985817500669
.\src\test\java\org\jfree\data\xy\YIntervalDataItemTest.java, YIntervalDataItemTest, 48, 20, 0.4166666666666667, 4, 0.10416666666666667
.\src\test\java\org\jfree\data\xy\YIntervalSeriesCollectionTest.java, YIntervalSeriesCollectionTest, 80, 27, 0.3375, 9, 0.037500000000000006
.\src\test\java\org\jfree\data\xy\YIntervalSeriesTest.java, YIntervalSeriesTest, 151, 49, 0.32450331125827814, 12, 0.02704194260485651
.\src\test\java\org\jfree\data\xy\YIntervalTest.java, YIntervalTest, 31, 12, 0.3870967741935484, 3, 0.12903225806451613
.\src\test\java\org\jfree\data\xy\YWithXIntervalTest.java, YWithXIntervalTest, 31, 12, 0.3870967741935484, 3, 0.12903225806451613
